
(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: Feather Boots, y: Laced Quiver,len: 22)
Dock, Pond, Beach, Uptown, Cemetery, 
Dock, Uptown, Alley, Forest, Factory,
Dock, Uptown, Alley, Forest, Chapel,
Dock, Uptown, Alley, Forest, School,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory, 
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: Feather Boots, y: Music Box,len: 22)
Dock, Pond, Beach, Uptown, Cemetery,
Dock, Pond, Beach, Uptown, Forest,
Dock, Pond, Uptown, Alley, Cemetery,
Dock, Pond, Uptown, Alley, Forest,
Dock, Pond, Uptown, Hotel, Temple,
Dock, Pond, Uptown, Temple, Cemetery,
Dock, Pond, Uptown, Temple, Forest,
Dock, Pond, Hotel, Temple, Archery Range,
Dock, Beach, Uptown, Alley, Cemetery,
Dock, Beach, Uptown, Alley, Forest,
Dock, Beach, Uptown, Hotel, Temple,
Dock, Beach, Uptown, Hotel, Cemetery,
Dock, Beach, Uptown, Hotel, Forest, 
Dock, Beach, Uptown, Avenue, Cemetery,
Dock, Beach, Uptown, Avenue, Forest,
Dock, Beach, Uptown, Hospital, Cemetery,
Dock, Beach, Uptown, Hospital, Forest,
Dock, Beach, Uptown, Temple, Cemetery,
Dock, Beach, Uptown, Temple, Forest,
Dock, Beach, Uptown, Archery Range, Cemetery,
Dock, Beach, Uptown, Archery Range, Forest,
Dock, Beach, Uptown, Cemetery, Forest,
Dock, Beach, Uptown, Cemetery, Factory,
Dock, Beach, Uptown, Cemetery, Chapel,
Dock, Beach, Uptown, Cemetery, School,
Dock, Beach, Uptown, Forest, Factory,
Dock, Beach, Uptown, Forest, Chapel,
Dock, Beach, Uptown, Forest, School,
Dock, Beach, Hotel, Temple, Archery Range,
Dock, Beach, Hotel, Archery Range, Cemetery,
Dock, Beach, Archery Range, Cemetery, School,
Dock, Uptown, Alley, Hotel, Temple,
Dock, Uptown, Alley, Hotel, Cemetery,
Dock, Uptown, Alley, Hotel, Forest,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Hospital, Cemetery,
Dock, Uptown, Alley, Hospital, Forest,
Dock, Uptown, Alley, Temple, Cemetery,
Dock, Uptown, Alley, Temple, Forest,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Cemetery, Chapel,
Dock, Uptown, Alley, Cemetery, School,
Dock, Uptown, Alley, Forest, Factory, 
Dock, Uptown, Alley, Forest, Chapel,
Dock, Uptown, Alley, Forest, School,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: Feather Boots, y: Pile Bunker,len: 22)
Dock, Pond, Hotel, Temple, Archery Range, 
Dock, Beach, Uptown, Avenue, Cemetery,
Dock, Beach, Uptown, Avenue, Forest,
Dock, Beach, Uptown, Archery Range, Cemetery,
Dock, Beach, Uptown, Archery Range, Forest,
Dock, Beach, Uptown, Cemetery, Factory,
Dock, Beach, Uptown, Forest, Factory,
Dock, Beach, Hotel, Temple, Archery Range,
Dock, Beach, Hotel, Archery Range, Cemetery,
Dock, Beach, Archery Range, Cemetery, School,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Forest, Factory,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Beach, Uptown, Alley, Cemetery, Factory,
Beach, Uptown, Alley, Forest, Factory,
Beach, Alley, Hotel, Avenue, Temple,
Beach, Alley, Hotel, Avenue, Cemetery,
Beach, Alley, Hotel, Avenue, Forest,
Beach, Alley, Hotel, Temple, Archery Range,
Beach, Alley, Hotel, Temple, Factory,
Beach, Alley, Hotel, Archery Range, Cemetery,
Beach, Alley, Hotel, Cemetery, Factory,
Beach, Alley, Cemetery, Factory, School, 
Beach, Hotel, Hospital, Temple, Archery Range,
Beach, Hotel, Hospital, Archery Range, Cemetery,
Beach, Hotel, Temple, Archery Range, School,
Beach, Hotel, Archery Range, Cemetery, School,
Beach, Archery Range, Cemetery, Factory, School,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: Bucephalus, y: Laced Quiver,len: 22)
Dock, Pond, Beach, Uptown, Forest,
Dock, Pond, Uptown, Alley, Forest,
Dock, Beach, Uptown, Alley, Forest,
Dock, Beach, Uptown, Hotel, Forest,
Dock, Beach, Uptown, Avenue, Cemetery,
Dock, Beach, Uptown, Avenue, Forest,
Dock, Beach, Uptown, Hospital, Cemetery,
Dock, Beach, Uptown, Hospital, Forest,
Dock, Beach, Uptown, Temple, Forest,
Dock, Beach, Uptown, Archery Range, Forest,
Dock, Beach, Uptown, Cemetery, Forest,
Dock, Beach, Uptown, Forest, Factory,
Dock, Beach, Uptown, Forest, Chapel,
Dock, Beach, Uptown, Forest, School,
Dock, Beach, Hotel, Avenue, Temple,
Dock, Beach, Hotel, Avenue, Cemetery,
Dock, Beach, Hotel, Avenue, Forest,
Dock, Beach, Hotel, Hospital, Temple,
Dock, Beach, Hotel, Hospital, Cemetery,
Dock, Beach, Hotel, Temple, Forest,
Dock, Beach, Hotel, Cemetery, Forest,
Dock, Beach, Avenue, Cemetery, School, 
Dock, Beach, Avenue, Forest, School,
Dock, Beach, Hospital, Cemetery, School,
Dock, Beach, Temple, Forest, School,
Dock, Beach, Cemetery, Forest, School,
Dock, Uptown, Alley, Hotel, Forest,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Hospital, Cemetery,
Dock, Uptown, Alley, Hospital, Forest,
Dock, Uptown, Alley, Temple, Forest,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Forest,
Dock, Uptown, Alley, Forest, Factory,
Dock, Uptown, Alley, Forest, Chapel,
Dock, Uptown, Alley, Forest, School,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Hospital, Temple,
Dock, Alley, Hotel, Hospital, Cemetery,
Dock, Alley, Hotel, Temple, Forest,
Dock, Alley, Hotel, Cemetery, Forest,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: Bucephalus, y: Music Box,len: 22)
Dock, Pond, Beach, Uptown, Forest,
Dock, Pond, Uptown, Alley, Forest,
Dock, Beach, Uptown, Alley, Forest,
Dock, Beach, Uptown, Hotel, Forest,
Dock, Beach, Uptown, Avenue, Cemetery,
Dock, Beach, Uptown, Avenue, Forest,
Dock, Beach, Uptown, Hospital, Cemetery,
Dock, Beach, Uptown, Hospital, Forest,
Dock, Beach, Uptown, Temple, Forest, 
Dock, Beach, Uptown, Archery Range, Forest,
Dock, Beach, Uptown, Cemetery, Forest,
Dock, Beach, Uptown, Forest, Factory,
Dock, Beach, Uptown, Forest, Chapel,
Dock, Beach, Uptown, Forest, School,
Dock, Beach, Hotel, Avenue, Temple,
Dock, Beach, Hotel, Avenue, Cemetery,
Dock, Beach, Hotel, Avenue, Forest,
Dock, Beach, Hotel, Hospital, Temple,
Dock, Beach, Hotel, Hospital, Cemetery,
Dock, Beach, Hotel, Temple, Forest,
Dock, Beach, Hotel, Cemetery, Forest,
Dock, Beach, Avenue, Cemetery, School,
Dock, Beach, Avenue, Forest, School,
Dock, Beach, Hospital, Cemetery, School,
Dock, Beach, Temple, Forest, School,
Dock, Beach, Cemetery, Forest, School,
Dock, Uptown, Alley, Hotel, Forest,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Hospital, Cemetery,
Dock, Uptown, Alley, Hospital, Forest,
Dock, Uptown, Alley, Temple, Forest,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Forest,
Dock, Uptown, Alley, Forest, Factory,
Dock, Uptown, Alley, Forest, Chapel,
Dock, Uptown, Alley, Forest, School,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Hospital, Temple,
Dock, Alley, Hotel, Hospital, Cemetery,
Dock, Alley, Hotel, Temple, Forest,
Dock, Alley, Hotel, Cemetery, Forest,
Pond, Alley, Hotel, Avenue, Temple, 
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: Bucephalus, y: Pile Bunker,len: 22)
Dock, Beach, Uptown, Avenue, Cemetery,
Dock, Beach, Uptown, Avenue, Forest,
Dock, Beach, Uptown, Archery Range, Forest,
Dock, Beach, Uptown, Forest, Factory,
Dock, Beach, Hotel, Avenue, Temple,
Dock, Beach, Hotel, Avenue, Cemetery,
Dock, Beach, Hotel, Avenue, Forest, 
Dock, Beach, Avenue, Cemetery, School,
Dock, Beach, Avenue, Forest, School,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Forest, Factory,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Beach, Alley, Hotel, Avenue, Temple,
Beach, Alley, Hotel, Avenue, Cemetery,
Beach, Alley, Hotel, Avenue, Forest,
Beach, Hotel, Avenue, Temple, Archery Range,
Beach, Hotel, Avenue, Archery Range, Cemetery,
Beach, Hotel, Avenue, Archery Range, Forest,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: White Rhinos, y: Laced Quiver,len: 23)
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Forest, Factory,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Beach, Hotel, Temple, Archery Range, Chapel,
Beach, Hotel, Archery Range, Cemetery, Chapel,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: White Rhinos, y: Music Box,len: 23)
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Forest, Factory,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Beach, Hotel, Temple, Archery Range, Chapel,
Beach, Hotel, Archery Range, Cemetery, Chapel,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: White Rhinos, y: Pile Bunker,len: 22)
Dock, Uptown, Alley, Avenue, Cemetery, 
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Forest, Factory,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Beach, Uptown, Alley, Cemetery, Factory,
Beach, Uptown, Alley, Forest, Factory,
Beach, Alley, Hotel, Avenue, Temple,
Beach, Alley, Hotel, Avenue, Cemetery,
Beach, Alley, Hotel, Avenue, Forest,
Beach, Alley, Hotel, Temple, Archery Range,
Beach, Alley, Hotel, Temple, Factory,
Beach, Alley, Hotel, Archery Range, Cemetery,
Beach, Alley, Hotel, Cemetery, Factory,
Beach, Alley, Cemetery, Factory, School,
Beach, Hotel, Temple, Archery Range, Chapel,
Beach, Hotel, Archery Range, Cemetery, Chapel,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Radar, l: Feather Boots, y: Laced Quiver,len: 22)
Dock, Pond, Uptown, Alley, Temple, 
Dock, Pond, Uptown, Alley, Cemetery,
Dock, Pond, Uptown, Alley, Forest,
Dock, Pond, Uptown, Hospital, Temple,
Dock, Pond, Uptown, Temple, Factory,
Dock, Beach, Uptown, Alley, Temple,
Dock, Beach, Uptown, Alley, Cemetery,
Dock, Beach, Uptown, Alley, Forest,
Dock, Beach, Uptown, Hospital, Temple,
Dock, Beach, Uptown, Hospital, Cemetery,
Dock, Beach, Uptown, Hospital, Forest,
Dock, Beach, Uptown, Temple, Factory,
Dock, Beach, Uptown, Cemetery, Factory,
Dock, Beach, Uptown, Forest, Factory,
Dock, Uptown, Alley, Hotel, Temple,
Dock, Uptown, Alley, Hotel, Cemetery,
Dock, Uptown, Alley, Hotel, Forest,
Dock, Uptown, Alley, Avenue, Temple,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Hospital, Temple,
Dock, Uptown, Alley, Hospital, Cemetery,
Dock, Uptown, Alley, Hospital, Forest,
Dock, Uptown, Alley, Temple, Archery Range,
Dock, Uptown, Alley, Temple, Cemetery,
Dock, Uptown, Alley, Temple, Forest,
Dock, Uptown, Alley, Temple, Factory,
Dock, Uptown, Alley, Temple, Chapel,
Dock, Uptown, Alley, Temple, School,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Cemetery, Chapel,
Dock, Uptown, Alley, Cemetery, School, 
Dock, Uptown, Alley, Forest, Factory,
Dock, Uptown, Alley, Forest, Chapel,
Dock, Uptown, Alley, Forest, School,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Uptown, Alley, Hotel, Temple, Chapel,
Uptown, Alley, Hotel, Cemetery, Chapel,
Uptown, Alley, Hotel, Forest, Chapel,
Uptown, Alley, Temple, Factory, Chapel,
Uptown, Alley, Cemetery, Factory, Chapel,
Uptown, Alley, Forest, Factory, Chapel,
Alley, Hotel, Avenue, Temple, Chapel,
Alley, Hotel, Avenue, Cemetery, Chapel,
Alley, Hotel, Avenue, Forest, Chapel,
Alley, Hotel, Temple, Archery Range, Chapel,
Alley, Hotel, Temple, Factory, Chapel,
Alley, Hotel, Archery Range, Cemetery, Chapel,
Alley, Hotel, Cemetery, Factory, Chapel,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Radar, l: Feather Boots, y: Music Box,len: 22)
Dock, Pond, Uptown, Alley, Temple,
Dock, Pond, Uptown, Alley, Cemetery,
Dock, Pond, Uptown, Alley, Forest,
Dock, Pond, Uptown, Hospital, Temple, 
Dock, Pond, Uptown, Temple, Factory,
Dock, Beach, Uptown, Alley, Temple,
Dock, Beach, Uptown, Alley, Cemetery,
Dock, Beach, Uptown, Alley, Forest,
Dock, Beach, Uptown, Hospital, Temple,
Dock, Beach, Uptown, Hospital, Cemetery,
Dock, Beach, Uptown, Hospital, Forest,
Dock, Beach, Uptown, Temple, Factory,
Dock, Beach, Uptown, Cemetery, Factory,
Dock, Beach, Uptown, Forest, Factory,
Dock, Uptown, Alley, Hotel, Temple,
Dock, Uptown, Alley, Hotel, Cemetery,
Dock, Uptown, Alley, Hotel, Forest,
Dock, Uptown, Alley, Avenue, Temple,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Hospital, Temple,
Dock, Uptown, Alley, Hospital, Cemetery,
Dock, Uptown, Alley, Hospital, Forest,
Dock, Uptown, Alley, Temple, Archery Range,
Dock, Uptown, Alley, Temple, Cemetery,
Dock, Uptown, Alley, Temple, Forest,
Dock, Uptown, Alley, Temple, Factory,
Dock, Uptown, Alley, Temple, Chapel,
Dock, Uptown, Alley, Temple, School,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Cemetery, Chapel,
Dock, Uptown, Alley, Cemetery, School,
Dock, Uptown, Alley, Forest, Factory,
Dock, Uptown, Alley, Forest, Chapel,
Dock, Uptown, Alley, Forest, School,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery, 
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Uptown, Alley, Hotel, Temple, Chapel,
Uptown, Alley, Hotel, Cemetery, Chapel,
Uptown, Alley, Hotel, Forest, Chapel,
Uptown, Alley, Temple, Factory, Chapel,
Uptown, Alley, Cemetery, Factory, Chapel,
Uptown, Alley, Forest, Factory, Chapel,
Alley, Hotel, Avenue, Temple, Chapel,
Alley, Hotel, Avenue, Cemetery, Chapel,
Alley, Hotel, Avenue, Forest, Chapel,
Alley, Hotel, Temple, Archery Range, Chapel,
Alley, Hotel, Temple, Factory, Chapel,
Alley, Hotel, Archery Range, Cemetery, Chapel,
Alley, Hotel, Cemetery, Factory, Chapel,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Radar, l: Feather Boots, y: Pile Bunker,len: 22)
Dock, Pond, Uptown, Temple, Factory,
Dock, Beach, Uptown, Temple, Factory,
Dock, Beach, Uptown, Cemetery, Factory, 
Dock, Beach, Uptown, Forest, Factory,
Dock, Uptown, Alley, Avenue, Temple,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Temple, Archery Range,
Dock, Uptown, Alley, Temple, Factory,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Forest, Factory,
Dock, Alley, Hotel, Avenue, Temple,
Dock, Alley, Hotel, Avenue, Cemetery,
Dock, Alley, Hotel, Avenue, Forest,
Dock, Alley, Hotel, Temple, Archery Range,
Dock, Alley, Hotel, Temple, Factory,
Dock, Alley, Hotel, Archery Range, Cemetery,
Dock, Alley, Hotel, Cemetery, Factory,
Pond, Alley, Hotel, Avenue, Temple,
Pond, Alley, Hotel, Avenue, Cemetery,
Pond, Alley, Hotel, Avenue, Forest,
Beach, Uptown, Alley, Temple, Factory,
Beach, Uptown, Alley, Cemetery, Factory,
Beach, Uptown, Alley, Forest, Factory,
Beach, Alley, Hotel, Avenue, Temple,
Beach, Alley, Hotel, Avenue, Cemetery,
Beach, Alley, Hotel, Avenue, Forest,
Beach, Alley, Hotel, Temple, Archery Range, 
Beach, Alley, Hotel, Temple, Factory,
Beach, Alley, Hotel, Archery Range, Cemetery,
Beach, Alley, Hotel, Cemetery, Factory,
Beach, Hotel, Hospital, Temple, Archery Range,
Beach, Hotel, Hospital, Archery Range, Cemetery,
Uptown, Alley, Hotel, Avenue, Temple,
Uptown, Alley, Hotel, Avenue, Cemetery,
Uptown, Alley, Hotel, Avenue, Forest,
Uptown, Alley, Avenue, Hospital, Temple,
Uptown, Alley, Avenue, Hospital, Cemetery,
Uptown, Alley, Avenue, Hospital, Forest,
Uptown, Alley, Avenue, Temple, Factory,
Uptown, Alley, Avenue, Cemetery, Factory,
Uptown, Alley, Avenue, Forest, Factory,
Uptown, Alley, Temple, Factory, Chapel,
Uptown, Alley, Cemetery, Factory, Chapel,
Uptown, Alley, Forest, Factory, Chapel,
Alley, Hotel, Avenue, Hospital, Temple,
Alley, Hotel, Avenue, Hospital, Cemetery,
Alley, Hotel, Avenue, Hospital, Forest,
Alley, Hotel, Avenue, Temple, Archery Range,
Alley, Hotel, Avenue, Temple, Cemetery,
Alley, Hotel, Avenue, Temple, Forest,
Alley, Hotel, Avenue, Temple, Factory,
Alley, Hotel, Avenue, Temple, Chapel,
Alley, Hotel, Avenue, Temple, School,
Alley, Hotel, Avenue, Archery Range, Cemetery,
Alley, Hotel, Avenue, Archery Range, Forest,
Alley, Hotel, Avenue, Cemetery, Forest,
Alley, Hotel, Avenue, Cemetery, Factory,
Alley, Hotel, Avenue, Cemetery, Chapel,
Alley, Hotel, Avenue, Cemetery, School,
Alley, Hotel, Avenue, Forest, Factory,
Alley, Hotel, Avenue, Forest, Chapel, 
Alley, Hotel, Avenue, Forest, School,
Alley, Hotel, Temple, Archery Range, Chapel,
Alley, Hotel, Temple, Factory, Chapel,
Alley, Hotel, Archery Range, Cemetery, Chapel,
Alley, Hotel, Cemetery, Factory, Chapel,

(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Radar, l: Bucephalus, y: Laced Quiver,len: 21)
Dock, Pond, Uptown, Alley, Forest,
Dock, Beach, Uptown, Alley, Forest,
Dock, Beach, Uptown, Hospital, Temple,
Dock, Beach, Uptown, Hospital, Cemetery,
Dock, Beach, Uptown, Hospital, Forest,
Dock, Beach, Uptown, Forest, Factory,
Dock, Beach, Hotel, Hospital, Temple,
Dock, Beach, Hotel, Hospital, Cemetery,
Dock, Uptown, Alley, Hotel, Forest,
Dock, Uptown, Alley, Avenue, Temple,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Hospital, Temple,
Dock, Uptown, Alley, Hospital, Cemetery,
Dock, Uptown, Alley, Hospital, Forest,
Dock, Uptown, Alley, Temple, Forest,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Forest,
